lat,lon,alt
55.47490809999999,10.326198600000001,50.0
55.474908199999994,10.326198699999999,50.0
55.474908199999994,10.326198699999999,50.0
55.47490819999999,10.3261988,50.0
55.474908199999994,10.3261989,50.0
55.47490809999999,10.3261989,50.0
55.474908199999994,10.326198999999999,50.0
55.474908199999994,10.326198999999999,50.0
55.474908199999994,10.326198999999999,50.0
55.474908199999994,10.3261991,50.0
55.474908199999994,10.326199199999998,50.0
55.474908199999994,10.326199199999998,50.0
55.474908299999996,10.326199299999997,50.0
55.474908299999996,10.326199299999997,50.0
55.474908299999996,10.3261994,50.0
55.474908299999996,10.3261994,50.0
55.474908299999996,10.326199500000001,50.0
55.474908299999996,10.326199500000001,50.0
55.47490829999998,10.326199599999997,50.0
55.47490829999999,10.3261997,50.0
55.47490829999999,10.3261997,50.0
55.47490829999999,10.3261998,50.0
55.47490829999999,10.3261998,50.0
55.47490829999999,10.3261998,50.0
55.47490829999999,10.326199899999999,50.0
55.47490829999999,10.326199899999999,50.0
55.47490829999999,10.3262,50.0
55.474908299999996,10.3262001,50.0
55.474908299999996,10.326200199999999,50.0
55.4749084,10.326200199999999,50.0
55.47490839999999,10.3262003,50.0
55.47490839999999,10.3262003,50.0
55.47490839999999,10.3262003,50.0
55.4749084,10.3262004,50.0
55.4749084,10.3262004,50.0
55.47490849999999,10.326200499999999,50.0
55.47490849999999,10.326200499999999,50.0
55.47490849999999,10.326200499999999,50.0
55.47490849999999,10.326200599999998,50.0
55.474908499999984,10.326200699999998,50.0
55.4749086,10.326200699999998,50.0
55.4749086,10.326200699999998,50.0
55.4749086,10.326200799999999,50.0
55.4749086,10.3262009,50.0
